date,Open,High,Low,Close,Volume
3/13/2023,"1,674,600,067.00","1,773,500,061.00","1,639,100,037.00","1,744,799,957.00","167,790,300.00"
3/14/2023,"1,773,099,976.00","1,838,000,031.00","1,771,399,994.00","1,832,599,945.00","143,717,900.00"
3/15/2023,"1,808,000,031.00","1,823,399,963.00","1,760,299,988.00","1,804,499,969.00","145,995,600.00"
3/16/2023,"1,803,699,951.00","1,858,099,976.00","1,788,399,963.00","1,841,300,049.00","121,136,800.00"
3/17/2023,"1,845,200,043.00","1,862,200,012.00","1,773,300,018.00","1,801,300,049.00","133,197,100.00"
3/20/2023,"1,780,800,018.00","1,864,400,024.00","1,763,500,061.00","183,25","129,684,400.00"
3/21/2023,"1,882,799,988.00",198.00,"1,880,399,933.00","1,975,800,018.00","153,391,400.00"
3/22/2023,"1,993,000,031.00","2,006,600,037.00","1,909,499,969.00","1,911,499,939.00","150,376,400.00"
3/23/2023,"1,952,599,945.00","1,993,099,976.00","1,886,499,939.00","1,922,200,012.00","144,193,900.00"
3/24/2023,"1,916,499,939.00","1,923,600,006.00","1,871,499,939.00","1,904,100,037.00","116,312,400.00"
3/27/2023,"1,944,199,982.00","1,973,899,994.00","1,899,400,024.00","1,918,099,976.00","120,851,600.00"
3/28/2023,192.00,"1,923,500,061.00","1,854,299,927.00","1,891,900,024.00","98,654,600.00"
3/29/2023,"1,931,300,049.00","1,952,899,933.00","1,894,400,024.00","1,938,800,049.00","123,660,000.00"
3/30/2023,"1,955,800,018.00","1,973,300,018.00","1,944,199,982.00","1,952,799,988.00","110,252,200.00"
3/31/2023,"1,975,299,988.00","2,077,899,933.00","1,971,999,969.00","2,074,600,067.00","170,222,100.00"
4/3/2023,"1,999,100,037.00","2,026,900,024.00","1,921,999,969.00","1,947,700,043.00","169,545,900.00"
4/4/2023,"1,973,200,073.00","1,987,400,055.00","1,903,200,073.00","1,925,800,018.00","126,463,800.00"
4/5/2023,"1,905,200,043.00","1,906,799,927.00","1,837,599,945.00","1,855,200,043.00","133,882,500.00"
4/6/2023,"1,830,800,018.00","1,863,899,994.00","1,797,400,055.00","1,850,599,976.00","123,857,900.00"
4/10/2023,"1,799,400,024.00","1,851,000,061.00","1,761,100,006.00","1,845,099,945.00","142,154,600.00"
4/11/2023,"1,866,900,024.00","1,891,900,024.00","1,856,499,939.00","1,867,899,933.00","115,770,900.00"
4/12/2023,"1,907,400,055.00","1,915,800,018.00","1,803,099,976.00","1,805,399,933.00","150,256,300.00"
4/13/2023,"1,829,600,067.00","186,5","1,809,400,024.00","1,858,999,939.00","112,933,000.00"
4/14/2023,"1,839,499,969.00","1,862,799,988.00","1,820,099,945.00",185.00,"96,438,700.00"
4/17/2023,"1,863,200,073.00","1,896,900,024.00","1,826,900,024.00","1,870,399,933.00","116,662,200.00"
4/18/2023,"1,871,499,939.00","1,876,900,024.00","1,835,800,018.00","1,843,099,976.00","92,067,000.00"
4/19/2023,"1,791,000,061.00","183,5","1,776,499,939.00","1,805,899,963.00","125,732,700.00"
4/20/2023,"1,661,699,982.00","1,696,999,969.00","1,605,599,976.00","1,629,900,055.00","210,970,800.00"
